Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%,Opp_TOV%,DRB%,Opp_FT/FGA,Arena
1,Minnesota Lynx,29.7,16,6,18,4,9.27,-0.37,8.90,112.7,101.1,+11.6,79.9,.250,.307,.573,.537,14.5,29.2,.198,.469,15.9,73.9,.249,Target Center
2,Golden State Valkyries,28.5,16,7,17,6,5.39,0.76,6.15,109.0,101.8,+7.2,75.3,.289,.455,.533,.490,12.1,26.5,.221,.482,15.7,75.2,.251,Chase Center
3,New York Liberty,29.4,13,9,14,8,4.00,-0.99,3.01,111.9,106.8,+5.1,78.1,.342,.442,.596,.540,16.2,24.2,.292,.495,11.9,75.3,.179,Barclays Center
4,Dallas Wings,26.7,14,8,14,8,3.64,0.90,4.54,111.1,106.5,+4.6,79.0,.238,.339,.552,.515,11.9,25.0,.188,.515,14.9,76.8,.231,College Park Center
5,Indiana Fever,27.1,12,9,13,8,3.67,-0.89,2.78,113.0,108.5,+4.5,81.7,.341,.395,.589,.538,15.8,26.6,.279,.507,13.4,78.2,.292,Gainbridge Fieldhouse
6,Atlanta Dream,26.3,12,9,13,8,3.57,1.17,4.74,109.6,105.2,+4.4,79.7,.347,.377,.538,.492,13.6,31.6,.258,.544,18.4,78.9,.235,Gateway Center Arena
7,Las Vegas Aces,29.6,15,6,13,8,3.52,0.12,3.65,112.4,108.0,+4.4,79.6,.306,.336,.585,.545,13.9,24.1,.236,.501,13.0,76.8,.221,Michelob ULTRA Arena
8,Toronto Tempo,28.5,9,12,9,12,-2.00,-1.23,-3.23,111.4,113.9,-2.5,79.7,.328,.410,.571,.518,14.4,25.0,.271,.526,14.3,69.8,.265,Coca-Cola Coliseum
9,Phoenix Mercury,30.3,8,14,9,13,-2.05,0.61,-1.44,106.1,108.7,-2.6,78.2,.363,.374,.551,.495,14.7,23.2,.286,.533,15.1,76.9,.212,Mortgage Matchup Center
10,Chicago Sky,28.9,7,14,8,13,-2.67,0.58,-2.09,105.2,108.4,-3.2,80.9,.374,.333,.539,.486,14.1,23.4,.283,.488,14.1,71.2,.282,Wintrust Arena
11,Washington Mystics,23.4,10,10,7,13,-3.40,0.34,-3.07,100.6,104.8,-4.2,77.7,.413,.308,.537,.484,18.0,29.4,.300,.486,14.3,76.7,.237,CareFirst Arena
12,Seattle Storm,25.2,6,17,7,16,-4.87,-0.77,-5.64,101.3,107.4,-6.1,78.7,.278,.392,.537,.491,15.7,20.7,.224,.482,13.6,72.0,.257,Climate Pledge Arena
13,Los Angeles Sparks,30.0,9,11,6,14,-5.15,0.05,-5.10,107.9,114.2,-6.3,81.4,.328,.383,.561,.513,15.1,22.9,.259,.544,14.7,70.7,.245,Crypto.com Arena
14,Connecticut Sun,24.8,5,17,5,17,-6.73,-0.17,-6.90,100.5,108.9,-8.4,79.2,.333,.268,.508,.469,14.6,28.3,.228,.523,16.5,74.6,.300,Mohegan Sun Arena
15,Portland Fire,25.9,9,12,5,16,-7.05,-0.08,-7.13,105.3,114.1,-8.8,78.2,.276,.403,.550,.504,16.2,24.9,.224,.531,15.0,68.7,.277,Moda Center