Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Indiana Fever,21,202.4,32.2,68.9,.467,9.8,27.2,.361,22.4,41.7,.537,19.2,23.5,.816,8.5,26.3,34.8,20.9,6.1,4.0,14.9,23.9,93.4
2,Las Vegas Aces,21,201.2,33.0,67.8,.486,8.0,22.8,.354,24.9,45.0,.553,16.0,20.8,.771,8.0,27.0,35.0,22.2,7.0,5.2,12.4,17.6,90.0
3,Minnesota Lynx,22,200.0,34.0,70.8,.480,8.0,21.7,.370,25.9,49.0,.528,14.0,17.7,.794,9.6,26.6,36.3,21.4,8.8,5.1,13.4,19.4,90.0
4,Toronto Tempo,21,201.2,30.3,68.3,.444,10.1,28.0,.362,20.2,40.3,.501,18.5,22.4,.826,8.4,23.3,31.7,20.0,7.8,3.3,13.2,22.4,89.3
5,Los Angeles Sparks,20,201.3,31.2,68.8,.453,8.3,26.4,.313,22.9,42.5,.539,17.9,22.6,.792,8.0,23.2,31.1,20.4,7.5,2.9,14.0,20.6,88.4
6,Dallas Wings,22,201.1,33.3,72.5,.459,8.1,24.5,.331,25.1,47.9,.525,13.6,17.2,.792,8.8,25.3,34.1,22.1,7.2,3.5,10.8,18.7,88.3
7,New York Liberty,22,201.1,29.6,64.0,.462,10.0,28.3,.352,19.6,35.7,.550,18.7,21.9,.853,7.2,27.3,34.5,20.7,6.0,4.1,14.2,19.2,87.8
8,Atlanta Dream,21,200.0,30.4,70.5,.431,8.5,26.6,.321,21.9,43.9,.498,18.2,24.4,.745,11.0,23.7,34.7,19.6,9.3,2.8,12.8,19.3,87.5
9,Chicago Sky,21,202.4,29.8,68.7,.433,7.2,22.9,.315,22.6,45.8,.493,19.4,25.7,.757,8.4,25.0,33.4,20.8,6.9,5.4,13.1,22.2,86.1
10,Portland Fire,21,204.8,29.8,68.4,.436,9.3,27.5,.339,20.5,40.9,.501,15.3,18.9,.813,8.0,21.9,29.9,20.0,7.4,4.3,14.9,23.0,84.3
11,Phoenix Mercury,22,201.1,28.4,65.3,.434,8.0,24.5,.327,20.4,40.9,.498,18.7,23.7,.789,7.9,24.3,32.2,19.0,7.8,3.5,13.1,18.4,83.4
12,Golden State Valkyries,23,200.0,28.1,68.3,.412,10.7,31.1,.344,17.4,37.2,.468,15.1,19.7,.767,9.2,23.9,33.1,18.1,7.2,4.3,10.6,19.9,82.1
13,Washington Mystics,20,207.5,28.1,63.9,.439,5.8,19.7,.295,22.3,44.3,.503,19.2,26.4,.727,9.5,27.1,36.6,19.2,5.6,3.5,16.6,21.4,81.1
14,Seattle Storm,23,201.1,28.2,66.5,.424,8.9,26.0,.342,19.3,40.5,.476,14.9,18.5,.805,6.9,25.5,32.4,18.8,7.6,4.4,13.9,20.1,80.1
15,Connecticut Sun,22,201.1,29.6,68.6,.431,5.1,18.4,.279,24.5,50.2,.487,15.6,22.9,.684,9.9,23.9,33.7,18.8,8.4,4.6,13.5,23.0,80.0