Rk,Team,G,MP,FG%,Dist,FGA_2P%,FGA_0-3%,FGA_3-10%,FGA_10-16%,FGA_16-3P%,FGA_3P%,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3P,FG%_3P,Ast_2P%,Ast_3P%,Layups_%FGA,Layups_Md,Corner_%3PA,Corner_3P%
1,Atlanta Dream,21,4200,.431,12.1,.623,.309,.249,.049,.016,.377,.498,.607,.418,.301,.217,.321,.536,.927,.440,360,.170,.305
2,Chicago Sky,21,4250,.433,11.9,.667,.313,.227,.084,.044,.333,.493,.608,.404,.372,.365,.315,.648,.854,.400,318,.202,.278
3,Connecticut Sun,22,4425,.431,11.8,.732,.249,.273,.135,.075,.268,.487,.635,.434,.382,.381,.279,.584,.885,.384,326,.151,.311
4,Dallas Wings,22,4425,.459,13.7,.661,.181,.249,.159,.072,.339,.525,.708,.453,.500,.365,.331,.597,.877,.311,307,.157,.329
5,Golden State Valkyries,23,4600,.412,15.4,.545,.132,.261,.094,.057,.455,.468,.638,.438,.412,.311,.344,.501,.878,.295,251,.232,.343
6,Indiana Fever,21,4250,.467,13.6,.605,.253,.234,.063,.055,.395,.537,.664,.484,.330,.413,.361,.577,.801,.381,344,.194,.315
7,Los Angeles Sparks,20,4025,.453,13.0,.617,.242,.267,.074,.033,.383,.539,.715,.443,.382,.391,.313,.592,.830,.393,331,.192,.297
8,Las Vegas Aces,21,4225,.486,13.7,.664,.147,.291,.154,.072,.336,.553,.775,.531,.468,.369,.354,.610,.882,.297,289,.203,.361
9,Minnesota Lynx,22,4400,.480,12.8,.693,.250,.225,.083,.134,.307,.528,.690,.484,.338,.418,.370,.558,.864,.394,380,.215,.408
10,New York Liberty,22,4425,.462,14.1,.558,.183,.289,.059,.027,.442,.550,.764,.450,.470,.342,.352,.604,.886,.347,300,.241,.393
11,Phoenix Mercury,22,4425,.434,13.8,.626,.196,.262,.093,.074,.374,.498,.648,.480,.381,.318,.327,.580,.892,.335,288,.257,.341
12,Portland Fire,21,4300,.436,13.3,.597,.174,.344,.051,.029,.403,.501,.592,.488,.397,.293,.339,.565,.908,.379,300,.230,.414
13,Seattle Storm,23,4625,.424,14.1,.608,.162,.286,.097,.063,.392,.476,.669,.453,.329,.309,.342,.576,.863,.327,288,.164,.357
14,Toronto Tempo,21,4225,.444,14.0,.590,.265,.178,.077,.070,.410,.501,.647,.410,.327,.370,.362,.578,.822,.332,282,.204,.392
15,Washington Mystics,20,4150,.439,11.3,.692,.268,.322,.067,.036,.308,.503,.687,.410,.329,.283,.295,.627,.897,.455,337,.221,.345
League Average,21,4336,.446,13.3,.632,.221,.263,.090,.058,.368,.510,.664,.454,.395,.359,.336,.583,.870,.364,313,.203,.350